exp,phi_0,dV_ges,eps_0,V_dis_total,status
5mmol_30C,0.000651134,994.0573675,0.399507565,0.0020090753546345794,success
5mmol_30C,0.000666888,981.9675893,0.398774242,0.0019362774354468827,success
5mmol_30C,0.000578923,998.3289379,0.299638591,0.0015655975724152105,success
5mmol_30C,0.000568444,1000.032227,0.299961589,0.001577541664841458,success
5mmol_30C,0.000551839,1017.00453,0.304068314,0.0016641148687000142,success
5mmol_30C,0.000527851,1005.880826,0.300892819,0.0016333800808846903,success
5mmol_30C,0.000545092,988.7087167,0.297422013,0.0015541807992069403,success
5mmol_30C,0.00055842,995.9549927,0.299342948,0.0015717284524585542,success
5mmol_30C,0.000816628,1492.737848,0.500258137,0.0054524558107762345,success
5mmol_30C,0.000824805,1503.418987,0.500185869,0.0055228374287351265,success
5mmol_30C,0.00076001,1496.994971,0.500046369,0.005625701121686285,success
5mmol_30C,0.000743565,1505.564556,0.500495951,0.005730843102179882,success
5mmol_30C,0.000792247,1501.102268,0.500037642,0.005576864647339348,success
5mmol_30C,0.000859751,1494.673636,0.500000991,0.005379278702113901,success
5mmol_30C,0.000702358,1507.266277,0.400776022,0.0047086531375078195,success
5mmol_30C,0.000673997,1497.84715,0.399699582,0.004698774517113414,success
5mmol_30C,0.000612475,1494.370199,0.399708235,0.004809830858177641,success
5mmol_30C,0.000594114,1495.096084,0.399581026,0.004854185414753843,success
5mmol_30C,0.000614664,1502.497268,0.40017337,0.004862130687647185,success
5mmol_30C,0.000661629,1504.546408,0.400747698,0.004773927911805378,success
5mmol_30C,0.000598133,1499.687325,0.300138854,0.0037578955091577366,success
5mmol_30C,0.000581599,1499.466933,0.300504127,0.0037937230187070113,success
5mmol_30C,0.000526169,1500.087412,0.300071251,0.0038930584652730428,success
5mmol_30C,0.000504985,1499.740829,0.300041644,0.0039336589342556655,success
5mmol_30C,0.000511394,1499.81057,0.30000299,0.003919072295132221,success
5mmol_30C,0.000536695,1499.842108,0.300058331,0.003870423269961806,success
5mmol_30C,0.000717496,2009.693963,0.500504679,0.009845755063857285,success
5mmol_30C,0.000706847,2002.74725,0.500114825,0.009812049140568789,success
5mmol_30C,0.000693917,2000.386241,0.499961419,0.00983472860426039,success
5mmol_30C,0.000681172,1999.619482,0.499988817,0.009862796065801151,success
5mmol_30C,0.000678728,2005.000489,0.499839059,0.00992898375687728,success
5mmol_30C,0.000719501,2002.904056,0.500128712,0.009776508385462788,success
5mmol_30C,0.000615759,1999.976712,0.400015793,0.008378147385967297,success
5mmol_30C,0.000603898,1999.767779,0.400113352,0.008420358501771376,success
5mmol_30C,0.000572842,2000.406159,0.400022675,0.008516842699172012,success
5mmol_30C,0.000555569,1999.558397,0.399950722,0.008565643729354259,success
5mmol_30C,0.000562159,1999.149445,0.399912062,0.008529626154719853,success
10mmol_21C,0.000544087,741.1380162,0.298462091,0.0061718666059171765,success
10mmol_21C,0.00045836,755.3013832,0.302225065,0.006820114724980794,success
10mmol_21C,0.000302308,739.6016638,0.296834975,0.007227208110407356,success
10mmol_21C,0.000204621,743.101701,0.297018934,0.007860840608384934,success
10mmol_21C,0.000521937,747.9569472,0.40036071,0.008896190787837738,success
10mmol_21C,0.000449277,749.974026,0.399764919,0.00931689170930443,success
10mmol_21C,0.000285464,741.2064013,0.399049243,0.010178560245994301,success
10mmol_21C,0.000241941,750.207822,0.400023387,0.010696373888317266,success
10mmol_21C,0.000657257,748.3678846,0.503339395,0.01065278416868752,success
10mmol_21C,0.000528084,758.1221102,0.500358875,0.011538288257250224,success
10mmol_21C,0.000359151,742.2261453,0.498404384,0.01233923600981516,success
10mmol_21C,0.00031128,749.9297278,0.49988101,0.012922969341571307,success
10mmol_21C,0.000478417,1001.588372,0.300530326,0.010140580933461428,success
10mmol_21C,0.00049956,999.2889087,0.29977596,0.009964704335647974,success
10mmol_21C,0.000321268,1004.324935,0.301183481,0.011198596296034148,success
10mmol_21C,0.000270206,1000.556021,0.29982659,0.011454126846144863,success
10mmol_21C,0.000496612,1010.338929,0.401125093,0.013638101616592064,success
10mmol_21C,0.000538199,992.5987236,0.400130769,0.013004231649693557,success
10mmol_21C,0.000354805,1005.667141,0.399870462,0.014600375951726892,success
10mmol_21C,0.00030498,998.6327765,0.399839514,0.014893190946355358,success
10mmol_21C,0.000571614,1012.474803,0.49980213,0.016425768102896723,success
10mmol_21C,0.000617876,988.0668846,0.500028205,0.015579952628658158,success
10mmol_21C,0.000434109,985.6111681,0.497841901,0.01693689701054039,success
10mmol_21C,0.000379055,1001.503179,0.49926978,0.017842708687065938,success
10mmol_21C,0.000501532,1249.423799,0.299994527,0.01361561817870858,success
10mmol_21C,0.000503923,1251.817605,0.299480344,0.013621649672388617,success
10mmol_21C,0.00034782,1249.972052,0.299996185,0.014763900657663535,success
10mmol_21C,0.000276122,1249.905575,0.300056612,0.015381833068881912,success
10mmol_21C,0.000540365,1253.811344,0.400506867,0.017672532677666088,success
10mmol_21C,0.000524807,1254.113769,0.401062998,0.017834604437658885,success
10mmol_21C,0.000390749,1237.241983,0.398815701,0.018617351946787507,success
10mmol_21C,0.000330849,1239.463207,0.399115651,0.019270911296485685,success
10mmol_21C,0.00056679,1252.344689,0.501636811,0.021565385807802318,success
10mmol_21C,0.000600977,1240.939849,0.499425408,0.020922316060691268,success
10mmol_21C,0.00048327,1254.407693,0.50056331,0.022403305107697172,success
10mmol_21C,0.000492745,750.2517853,0.299888778,0.006541162905765294,success
10mmol_21C,0.000326583,741.6100453,0.298191785,0.007163984871688345,success
10mmol_21C,0.000225011,745.8283201,0.298307962,0.007812064984895045,success
10mmol_21C,0.000508224,748.8063905,0.399980643,0.008977942613929044,success
10mmol_21C,0.000385542,761.3440655,0.401427842,0.0099474969603866,success
10mmol_21C,0.000278176,751.4093995,0.400738686,0.01047167853734111,success
10mmol_21C,0.000578293,750.8784104,0.499324255,0.011063607723373873,success
10mmol_21C,0.000449791,757.1490031,0.499654468,0.012026523855539366,success
